nombre_jugador;tm_id;club_origen;club_destino;ss_id;ss_season_id;ss_tournament_id
Erick Gonzales;671879;Cusco FC;Academia Deportiva Cantolao;1049088;35813;406
Rodrigo Pastorini;90683;IA Sud América ;Academia Deportiva Cantolao;153654;36546;278
José Manzaneda;279387;Club Alianza Lima;Academia Deportiva Cantolao;339475;35813;406
Carlos Uribe;249977;Deportivo Binacional;Academia Deportiva Cantolao;883294;35813;406
Christian Adrianzén;216280;Unión Huaral;Academia Deportiva Cantolao;312274;35813;406
Diego Ramírez;325706;Sport Boys Association;Academia Deportiva Cantolao;883389;35813;406
Giancarlo Carmona;82566;Sport Huancayo;Academia Deportiva Cantolao;38020;35813;406
Yorkman Tello;581201;Cusco FC;Asociación Deportiva Tarma;924791;35813;406
Jeickson Reyes;94451;Sport Huancayo;Asociación Deportiva Tarma;1120309;35813;406
Dylan Caro;621028;Club Alianza Lima;Asociación Deportiva Tarma;980889;35813;406
Hernán Rengifo;51225;Deportivo Municipal;Asociación Deportiva Tarma;35621;35813;406
Ignacio Barrios;291339;Alianza Atlético Sullana;Asociación Deportiva Tarma;924765;35813;406
Hervé Kambou;59947;Universidad Técnica de Cajamarca;Asociación Deportiva Tarma;38516;35813;406
Maximiliano Amondarain;246548;CS Cerrito;Alianza Atlético Sullana;333585;36546;278
Santiago Arias;531624;CA Boston River;Alianza Atlético Sullana;924725;36546;278
Aldair Perleche;330691;Club Cienciano;Alianza Atlético Sullana;339481;35813;406
Juan Diego Lojas;96295;Club Cienciano;Alianza Atlético Sullana;46992;35813;406
Marcio Valverde;94406;Sport Huancayo;Alianza Atlético Sullana;73666;35813;406
Róger Torres;126042;Ilves Tampere;Alianza Atlético Sullana;110856;35235;11539
Diego Penny;72671;Universidad San Martín de Porres;Alianza Atlético Sullana;33979;35813;406
Jonathan Bilbao;621036;Universidad San Martín de Porres;Alianza Atlético Sullana;973653;35813;406
Joyce Conde;111130;Alianza Universidad;Alianza Atlético Sullana;115187;35813;406
Joaquín Aguirre;320749;Ayacucho FC;Alianza Atlético Sullana;385418;35813;406
Kleiber Palomino;520959;Carlos A. Mannucci;Alianza Atlético Sullana;886721;35813;406
Kevin Ruiz;325591;Universidad San Martín de Porres;Alianza Atlético Sullana;875662;35813;406
Franco Zanelatto;653476;Club Alianza Lima;Alianza Atlético Sullana;973650;35813;406
Pablo Lavandeira;196037;Ayacucho FC;Club Alianza Lima;340077;35813;406
Christian Ramos;84506;Universidad César Vallejo;Club Alianza Lima;47439;35813;406
Aldair Rodríguez;249975;CD América de Cali;Club Alianza Lima;339843;35235;11539
Cristian Benavente;232859;Pyramids FC;Club Alianza Lima;255997;28216;38
Aldair Fuentes;480523;CF Fuenlabrada;Club Alianza Lima;876927;37225;54
Eduardo Caballero;446662;Deportivo Municipal;Club Atlético Grau;883813;35813;406
Raúl Fernández;82571;Deportivo Binacional;Club Atlético Grau;38006;35813;406
Luis Álvarez;95852;Club Cienciano;Club Atlético Grau;123238;35813;406
Ray Sandoval;312151;Universidad Técnica de Cajamarca;Club Atlético Grau;826380;35813;406
Jeremy Rostaing;271676;Sport Boys Association;Club Atlético Grau;590468;35813;406
Rodrigo Salinas;125750;CA Sarmiento (Junín);Club Atlético Grau;992514;37231;155
Francesco Cavagna;664362;Universidad San Martín de Porres;Club Atlético Grau;931772;35813;406
Elsar Rodas;325711;Universidad César Vallejo;Club Atlético Grau;790018;35813;406
Francisco Duclós;352344;Sport Huancayo;Ayacucho FC;876926;35813;406
Juan Morales;100197;Alianza Universidad;Ayacucho FC;162603;35813;406
Nicolás Royón;188058;Cusco FC;Ayacucho FC;286881;35813;406
Édinson Chávez;250004;Alianza Universidad;Ayacucho FC;312270;35813;406
Jorge Toledo;489993;Club Juan Aurich;Ayacucho FC;875661;35813;406
Santiago Rebagliati;356221;Universidad San Martín de Porres;Ayacucho FC;790030;35813;406
Sebastián Gonzales;621021;Club Alianza Lima;Ayacucho FC;954811;35813;406
Carlos Meza;662714;Club Sporting Cristal;Ayacucho FC;1107870;35813;406
Aryan Romaní;740619;Club Sporting Cristal;Ayacucho FC;1050816;35813;406
Saúl Salas;267549;Universidad San Martín de Porres;Carlos A. Mannucci;589438;35813;406
Steven Rivadeneyra;325709;Club Alianza Lima;Carlos A. Mannucci;883309;35813;406
Yuriel Celi;662699;Academia Deportiva Cantolao;Carlos A. Mannucci;973664;35813;406
Joazhiño Arroé;119365;Sport Huancayo;Carlos A. Mannucci;882851;35813;406
