nombre_jugador;tm_id;club_origen;club_destino;ss_id;ss_season_id;ss_tournament_id;;
Pablo Sabbag;426325;CD La Equidad Seguros SA;Club Alianza Lima;819114;40320;11539;;
Pablo Sabbag;426325;CD La Equidad Seguros SA;Club Alianza Lima;819114;42387;11536;;
Bryan Reyna;440312;Academia Deportiva Cantolao;Club Alianza Lima;883747;40118;406;;
Gabriel Costa;203385;CSD Colo-Colo;Club Alianza Lima;590312;40515;11653;;
Santiago García;90489;Unión La Calera;Club Alianza Lima;121657;40515;11653;;
Ítalo Espinoza;420866;Ayacucho FC;Club Alianza Lima;883746;40118;406;;
Édinson Chávez;250004;Ayacucho FC;Club Alianza Lima;312270;40118;406;;
Jesús Castillo;582655;Academia Deportiva Cantolao;Club Alianza Lima;978543;40118;406;;
Carlos Zambrano;53533;CA Boca Juniors;Club Alianza Lima;31611;41884;155;;
Gino Peruzzi;138110;CA San Lorenzo de Almagro;Club Alianza Lima;129520;40118;406;;
Andrés Andrade;120093;Atlético Nacional;Club Alianza Lima;248065;40320;11539;;
Andrés Andrade;120093;Atlético Nacional;Club Alianza Lima;248065;42387;11536;;
Christian Cueva;95280;Al-Fateh SC;Club Alianza Lima;47447;44908;955;;
Jostin Alarcón;866488;Sport Boys Association;Club Sporting Cristal;1107888;40118;406;;
Brenner;435046;Ituano Futebol Clube (SP);Club Sporting Cristal;840208;40560;390;;
Adrián Ascues;810550;Deportivo Municipal;Club Sporting Cristal;1065267;40118;406;;
Ignácio;624291;Esporte Clube Bahia;Club Sporting Cristal;958382;40560;390;;
Adrián Ugarriza;325726;Club Cienciano;Club Sporting Cristal;846366;40118;406;;
Martín Pérez Guedes;207246;FBC Melgar;Universitario de Deportes;249403;40118;406;;
Hugo Ancajima;672263;Asociación Deportiva Tarma;Universitario de Deportes;960225;40118;406;;
José Bolívar;433698;Sport Boys Association;Universitario de Deportes;887125;40118;406;;
Rodrigo Ureña;226327;Deportes Tolima;Universitario de Deportes;220465;40320;11539;;
Rodrigo Ureña;226327;Deportes Tolima;Universitario de Deportes;220465;42387;11536;;
Marco Saravia;528367;Deportivo Municipal;Universitario de Deportes;893067;40118;406;;
Matías Di Benedetto;441344;CA Central Córdoba (SdE);Universitario de Deportes;884997;41884;155;;
Horacio Calcaterra;77125;Club Sporting Cristal;Universitario de Deportes;312264;40118;406;;
José Rivera;458461;Carlos A. Mannucci;Universitario de Deportes;1020999;40118;406;;
Hideyoshi Arakaki;420864;Deportivo Municipal;Cusco FC;879629;40118;406;;
Carlos Uribe;249977;Academia Deportiva Cantolao;Cusco FC;883294;40118;406;;
Jonathan Bilbao;621036;Alianza Atlético Sullana;Cusco FC;973653;40118;406;;
Jhonny Vidales;224677;FBC Melgar;Cusco FC;588144;40118;406;;
Federico Alonso;296211;Universitario de Deportes;Cusco FC;882909;40118;406;;
Nelinho Quina;82584;Universitario de Deportes;Cusco FC;883313;40118;406;;
Gerson Barreto;335217;Universitario de Deportes;Cusco FC;883397;40118;406;;
Alonso Yovera;817656;Deportivo Municipal;Cusco FC;1068656;40118;406;;
Josué Estrada;260324;Club Cienciano;Cusco FC;339163;40118;406;;
Mauro Da Luz;458603;AD Nueve de Octubre;Cusco FC;924736;40503;240;;
Tiago Cantoro;738777;Universitario de Deportes;Cusco FC;1015696;40118;406;;
Donald Millán;73705;Universidad César Vallejo;Sport Huancayo;249599;40118;406;;
Alexis Rojas;398023;Universidad San Martín de Porres;Sport Huancayo;836280;40118;406;;
Carlos Cabello;477378;Club Sporting Cristal;Universidad César Vallejo;883396;40118;406;;
Benjamín Ampuero;789198;Sport Boys Association;Universidad César Vallejo;1017747;40118;406;;
Aldair Fuentes;480523;CF Fuenlabrada;Universidad César Vallejo;876927;40118;406;;
Marcelo Gaona;814636;Club Atlético Grau;Carlos A. Mannucci;989258;40118;406;;
Erick Perleche;653484;Club Cienciano;Carlos A. Mannucci;975241;40118;406;;
Alexis Cossio;292729;Club Cienciano;Carlos A. Mannucci;384658;40118;406;;
Joao Villamarín;250482;Universitario de Deportes;Carlos A. Mannucci;805353;40118;406;;
Edhu Oliva;516242;Club Alianza Lima;Carlos A. Mannucci;914294;40118;406;;
Erick Gonzales;671879;Academia Deportiva Cantolao;Carlos A. Mannucci;1049088;40118;406;;
Carlos Correa;358338;Alianza Atlético Sullana;Carlos A. Mannucci;925309;40118;406;;
Tarek Carranza;146822;Sport Boys Association;Carlos A. Mannucci;339169;40118;406;;
Maximiliano Amondarain;246548;Alianza Atlético Sullana;Carlos A. Mannucci;333585;40118;406;;
Kevin Ruiz;325591;Alianza Atlético Sullana;Carlos A. Mannucci;875662;40118;406;;
Léiner Escalante;171151;Asociación Deportivo Pasto;Carlos A. Mannucci;805289;40320;11539;;
Léiner Escalante;171151;Asociación Deportivo Pasto;Carlos A. Mannucci;805289;42387;11536;;
Raziel García;194999;Deportes Tolima;Carlos A. Mannucci;248059;40320;11539;;
Raziel García;194999;Deportes Tolima;Carlos A. Mannucci;248059;42387;11536;;
Jefferson Portales;582098;Club Alianza Lima;Carlos A. Mannucci;924787;40118;406;;
Michel Rasmussen;621031;FBC Melgar;Carlos A. Mannucci;944073;40118;406;;
Paolo Méndez;653688;FC Carlos Stein;Deportivo Garcilaso;973636;40118;406;;
José Parodi;639458;Ayacucho FC;Deportivo Garcilaso;922870;40118;406;;
Carlos Caraza;581174;Deportivo Binacional;Deportivo Garcilaso;888479;40118;406;;
Enmanuel Páucar;330690;Ayacucho FC;Deportivo Garcilaso;805068;40118;406;;
Jean Piere Fuentes;186903;Carlos A. Mannucci;Deportivo Garcilaso;248229;40118;406;;
Aldair Salazar;279380;Ayacucho FC;Deportivo Garcilaso;883343;40118;406;;
Alex Rambal;647304;Club Always Ready;Deportivo Garcilaso;830085;40174;384;;
Jorge Bazán;176400;Deportivo Municipal;Deportivo Garcilaso;220931;40118;406;;
Diego Penny;72671;Alianza Atlético Sullana;Deportivo Garcilaso;33979;40118;406;;
Juan Diego Lojas;96295;Alianza Atlético Sullana;Deportivo Garcilaso;46992;40118;406;;
Wilmer Aguirre;41301;Club Alianza Lima;Deportivo Garcilaso;26884;40118;406;;
Kevin Quevedo;439631;FBC Melgar;Deportivo Garcilaso;876929;40118;406;;
David Dioses;434192;Carlos A. Mannucci;Deportivo Garcilaso;883768;40118;406;;
Santiago Giordana;392093;Mushuc Runa SC;Deportivo Garcilaso;789880;40503;240;;
Tomás Martínez;271438;CA Aldosivi;FBC Melgar;330867;41884;155;;
Pablo Magnin;144236;CA Tigre;FBC Melgar;249347;41884;155;;
Jhamir D'Arrigo;741728;Academia Deportiva Cantolao;FBC Melgar;1017760;40118;406;;
Sebastián Cavero;662706;Club Atlético Grau;FBC Melgar;1049077;40118;406;;
Jorge Toledo;489993;Ayacucho FC;Deportivo Municipal;875661;40118;406;;
Carlos Solís;250672;Universidad San Martín de Porres;Deportivo Municipal;339533;40118;406;;
Orlando Gaona Lugo;142463;Club Nacional Asunción;Deportivo Municipal;154987;40096;11540;;
Orlando Gaona Lugo;142463;Club Nacional Asunción;Deportivo Municipal;154987;42815;11541;;
Leonardo Rugel;738469;Universitario de Deportes;Deportivo Municipal;1020855;40118;406;;
Francesco Cavagna;664362;Club Atlético Grau;Deportivo Municipal;931772;40118;406;;
Jair Céspedes;72971;Deportivo Binacional;Deportivo Municipal;26172;40118;406;;
Steven Rivadeneyra;325709;Carlos A. Mannucci;Deportivo Municipal;883309;40118;406;;
Luis Garro;473579;Sport Boys Association;Club Cienciano;876928;40118;406;;
Ángel Ojeda;149771;Deportivo Binacional;Club Cienciano;339841;40118;406;;
José Leguizamón;389552;Club Sol de América;Club Cienciano;988868;42815;11541;;
Gonzalo González;301721;Delfín SC;Club Cienciano;978353;40503;240;;
Yhirbis Córdova;195858;Club Juan Aurich;Club Cienciano;826377;40118;406;;
Iván Santillán;103817;Universitario de Deportes;Club Cienciano;311524;40118;406;;
Alberto Quintero;126019;Universitario de Deportes;Club Cienciano;83951;40118;406;;
Claudio Torrejón;168974;Sport Boys Association;Club Cienciano;842529;40118;406;;
Jean Deza;198027;Asociación Deportiva Tarma;Club Cienciano;189207;40118;406;;
Juan Romagnoli;515514;Querétaro FC;Club Cienciano;898631;42017;11621;;
Carlos Garcés;242436;Barcelona SC Guayaquil;Club Cienciano;906002;40503;240;;
Neri Bandiera;415544;CA Barracas Central;Club Atlético Grau;830746;41884;155;;
Álvaro Ampuero;195002;Universidad San Martín de Porres;Club Atlético Grau;175977;40118;406;;
Oslimg Mora;621026;Club Alianza Lima;Club Atlético Grau;929014;40118;406;;
Alessandro Milesi;547021;Universidad San Martín de Porres;Club Atlético Grau;949793;40118;406;;
Piero Vivanco;628328;Club Alianza Lima;Club Atlético Grau;932088;40118;406;;
Fabio Rojas;501586;Club Alianza Lima;Club Atlético Grau;877910;40118;406;;
Axel Moyano;665116;Club Alianza Lima;Club Atlético Grau;978545;40118;406;;
Joel López Pissano;565193;CA Rosario Central;Club Atlético Grau;925119;40118;406;;
Jesús Mendieta;515413;Ayacucho FC;Alianza Atlético Sullana;874981;40118;406;;
José Manzaneda;279387;Academia Deportiva Cantolao;Alianza Atlético Sullana;339475;40118;406;;
Miguel Cornejo;654297;Club Alianza Lima;Alianza Atlético Sullana;973563;40118;406;;
Stefano Fernández;966369;PASA Irodotos;Alianza Atlético Sullana;1170472;40118;406;;
Aryan Romaní;740619;Club Sporting Cristal;Alianza Atlético Sullana;1050816;40118;406;;
Diego Melián;303866;Deportivo Municipal;Alianza Atlético Sullana;924850;40118;406;;
Guillermo Larios;870966;Universitario de Deportes;Alianza Atlético Sullana;1109858;40118;406;;
Juan Pablo Carranza;740147;Deportivo Binacional;Alianza Atlético Sullana;1017763;40118;406;;
Marcos Ortiz;227771;Deportivo Binacional;Alianza Atlético Sullana;312276;40118;406;;
Victor Perlaza;670060;Sport Huancayo;Asociación Deportiva Tarma;1090706;40118;406;;
Marcos Delgado;94735;Universidad San Martín de Porres;Asociación Deportiva Tarma;311734;40118;406;;
Daniel Morales;105834;Sport Huancayo;Asociación Deportiva Tarma;1018128;40118;406;;
Armando Alfageme;135139;Universitario de Deportes;Asociación Deportiva Tarma;839571;40118;406;;
Kevin Moreno;486264;Deportivo Municipal;Asociación Deportiva Tarma;883339;40118;406;;
Janio Pósito;94761;Deportivo Binacional;Asociación Deportiva Tarma;883299;40118;406;;
Emilio Saba;805862;FBC Melgar;Asociación Deportiva Tarma;1017755;40118;406;;
Gianmarco Gambetta;201043;Academia Deportiva Cantolao;Universidad Técnica de Cajamarca;358202;40118;406;;
Rely Fernández;480527;Carlos A. Mannucci;Universidad Técnica de Cajamarca;973681;40118;406;;
Pedro Requena;122114;FC Carlos Stein;Universidad Técnica de Cajamarca;162435;40118;406;;
John Fajardo;82570;FC Carlos Stein;Universidad Técnica de Cajamarca;924643;40118;406;;
Patrick Zubczuk;342051;Club Cienciano;Universidad Técnica de Cajamarca;846373;40118;406;;
Joel Sánchez;102784;FBC Melgar;Universidad Técnica de Cajamarca;107293;40118;406;;
João Ortiz;180911;Carlos A. Mannucci;Universidad Técnica de Cajamarca;789965;40118;406;;
Joazhiño Arroé;119365;Carlos A. Mannucci;CD Unión Comercio;882851;40118;406;;
Paulo Goyoneche;250929;Universidad Técnica de Cajamarca;CD Unión Comercio;883298;40118;406;;
Yorkman Tello;581201;Asociación Deportiva Tarma;CD Unión Comercio;924791;40118;406;;
Salomón Libman;90230;Universidad Técnica de Cajamarca;CD Unión Comercio;107307;40118;406;;
Jesús Arismendi;94820;Alianza Atlético Sullana;CD Unión Comercio;125100;40118;406;;
