tm_id;ss_id;ss_season_id;nombre_jugador;edad;nacionalidad_str;posicion;club_origen;minutesPlayed;appearances;started;goals;totalShots;shotsOnTarget;shotsOffTarget;blockedShots;assists;keyPasses;bigChancesCreated;bigChancesMissed;successfulDribbles;penaltiesWon;penaltiesTaken;penaltyGoals;offsides;tackles;interceptions;clearances;dribbledPast;penaltiesCommitted;fouls;wasFouled;aerialDuelsWon;groundDuelsWon;totalPasses;accuratePasses;accurateFinalThirdPasses;accurateLongBalls;accurateCrosses;possessionLost;dispossessed;yellowCards;redCards
671879;1049088;35813;Erick Gonzales;25;Perú;Pivote;Cusco FC;1252;16;16;0;10;5;1;4;0;4;0;1;5;0;0;0;2;33;27;35;4;0;24;11;16;49;600;510;78;46;0;114;5;6;0
90683;153654;36546;Rodrigo Pastorini;31;Uruguay;Delantero centro;Sud América;386;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
279387;339475;35813;José Manzaneda;26;Perú;Extremo izquierdo;Alianza Lima;213;5;3;1;2;1;0;1;0;1;1;0;1;0;1;1;0;1;4;1;2;0;4;6;0;8;75;54;19;1;2;43;4;0;0
249977;883294;35813;Carlos Uribe;29;Perú;Pivote;Dep. Binacional;193;11;1;1;3;1;2;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;5;3;3;4;79;62;19;4;0;20;1;0;0
216280;312274;35813;Christian Adrianzén;27;Perú;Extremo derecho;Unión Huaral;45;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;2;3;0;0;0;0;2;0;5;19;16;7;1;0;7;1;0;0
325706;883389;35813;Diego Ramírez;26;Perú;Mediocentro;Sport Boys;564;18;3;1;11;3;3;5;0;5;0;0;4;0;0;0;1;23;10;7;4;0;12;17;8;44;252;203;49;9;3;88;8;0;0
82566;38020;35813;Giancarlo Carmona;35;Perú;Lateral derecho;Sport Huancayo;1845;23;20;2;19;6;8;5;0;7;0;0;10;0;0;0;1;23;17;28;9;1;27;18;40;51;763;604;143;26;4;254;7;4;0
581201;924791;35813;Yorkman Tello;31;Perú;Pivote;Cusco FC;1084;19;13;0;6;1;4;1;0;2;0;1;1;0;0;0;0;35;20;17;18;0;28;14;10;49;516;448;64;29;1;84;5;6;0
94451;1120309;35813;Jeickson Reyes;33;Perú;Lateral izquierdo;Sport Huancayo;448;5;5;0;2;0;1;1;0;1;0;0;2;0;0;0;2;5;4;6;1;0;6;11;4;18;175;145;26;4;1;50;2;0;1
621028;980889;35813;Dylan Caro;22;Perú;Lateral izquierdo;Alianza Lima;77;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;2;23;18;6;1;0;11;2;0;0
51225;35621;35813;Hernán Rengifo;38;Perú;Delantero centro;Dep. Municipal;714;15;9;3;14;5;8;1;1;7;1;0;0;0;0;0;3;2;1;4;1;0;7;12;22;14;133;91;42;1;0;55;7;2;0
291339;924765;35813;Ignacio Barrios;28;Uruguay;Portero;Alianza Atl.;2250;25;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;23;2;0;0;0;4;1;565;275;65;153;0;294;0;1;0
59947;38516;35813;Hervé Kambou;36;Costa de Marfil;Defensa central;UTC;516;11;7;0;4;3;1;0;0;0;0;0;0;1;0;0;0;5;18;27;0;0;13;8;6;12;135;95;10;18;0;44;1;2;1
246548;333585;36546;Maximiliano Amondarain;28;Uruguay;Defensa central;Cerrito;1684;20;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0
531624;924725;36546;Santiago Arias;26;Uruguay;Pivote;Boston River;1159;19;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1
330691;339481;35813;Aldair Perleche;26;Perú;Lateral derecho;Cienciano;643;12;7;0;1;1;0;0;0;3;0;0;0;0;0;0;0;11;11;24;1;0;15;4;5;15;135;94;28;9;3;80;5;1;0
96295;46992;35813;Juan Diego Lojas;32;Perú;Defensa central;Cienciano;1301;19;14;0;8;1;4;3;1;5;2;1;0;0;0;0;1;7;10;75;7;1;23;8;27;14;458;366;24;45;0;102;3;6;0
94406;73666;35813;Marcio Valverde;33;Perú;Mediocentro;Sport Huancayo;451;11;3;0;22;5;12;5;0;9;0;0;5;0;0;0;1;9;4;0;2;0;13;5;3;19;276;221;60;34;9;85;4;5;0
126042;110856;35235;Róger Torres;29;Colombia;Mediocentro ofensivo;Ilves;878;16;11;1;13;3;6;4;0;27;1;0;11;0;0;0;0;11;1;2;10;0;10;18;7;40;441;326;148;42;11;197;17;3;0
72671;33979;35813;Diego Penny;37;Perú;Portero;U. San Martín;2124;24;25;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;27;1;1;1;5;10;6;696;413;79;257;0;296;0;1;1
621036;973653;35813;Jonathan Bilbao;21;Perú;Defensa central;U. San Martín;246;6;3;0;1;1;0;0;0;3;1;0;1;0;0;0;0;3;2;12;1;1;5;2;4;6;86;49;9;12;1;42;1;1;0
111130;115187;35813;Joyce Conde;29;Perú;Delantero centro;Alianza UDH;571;10;9;1;10;2;5;3;0;4;1;0;5;0;0;0;2;3;2;5;0;0;10;9;15;17;123;101;31;4;0;56;8;2;0
320749;385418;35813;Joaquín Aguirre;25;Perú;Lateral izquierdo;Ayacucho FC;1067;14;12;0;6;3;2;1;0;10;0;1;8;0;0;0;0;19;33;22;6;0;19;14;21;40;414;273;94;30;8;207;2;2;1
520959;886721;35813;Kleiber Palomino;21;Perú;Extremo izquierdo;CA Mannucci;277;14;1;1;7;3;4;0;0;2;0;1;1;1;0;0;1;6;3;1;2;0;14;9;3;16;53;40;15;2;3;51;11;1;0
325591;875662;35813;Kevin Ruiz;26;Perú;Extremo derecho;U. San Martín;1261;19;15;0;13;3;9;1;1;7;1;0;22;0;0;0;4;17;2;4;8;0;33;29;57;68;341;254;90;10;4;253;30;3;2
653476;973650;35813;Franco Zanelatto;21;Perú;Extremo derecho;Alianza Lima;1101;15;12;4;23;7;8;8;0;10;0;0;20;1;0;0;6;15;6;9;4;0;18;37;22;71;255;186;81;7;4;161;21;2;0
196037;340077;35813;Pablo Lavandeira;31;Uruguay;Mediocentro ofensivo;Ayacucho FC;1751;22;20;9;67;25;26;16;7;50;6;2;31;1;2;2;3;20;14;22;16;0;35;63;21;114;717;475;263;59;37;477;49;2;0
84506;47439;35813;Christian Ramos;32;Perú;Defensa central;César Vallejo;1876;21;21;0;5;2;2;1;1;8;1;1;4;0;0;0;0;36;32;73;8;1;40;13;54;51;1046;815;119;85;3;270;8;7;0
249975;339843;35235;Aldair Rodríguez;26;Perú;Delantero centro;CD América;676;13;7;0;21;4;10;7;1;10;0;1;9;0;0;0;3;5;1;5;1;0;19;7;18;21;142;105;48;3;0;81;14;4;0
232859;255997;28216;Cristian Benavente;27;Perú;Mediocentro ofensivo;Pyramids FC;278;12;2;2;8;5;3;0;0;3;2;2;5;0;0;0;2;3;1;1;2;0;3;2;4;10;116;84;34;2;0;57;6;0;0
480523;876927;37225;Aldair Fuentes;23;Perú;Defensa central;CF Fuenlabrada;139;7;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;9;1;1;1;0;7;1;14;10;41;16;4;1;0;33;1;1;0
446662;883813;35813;Eduardo Caballero;24;Perú;Defensa central;Dep. Municipal;843;15;9;0;1;1;0;0;0;2;0;0;2;0;0;0;0;9;21;39;10;1;20;10;21;19;389;290;30;44;0;103;0;6;0
82571;38006;35813;Raúl Fernández;35;Perú;Portero;Dep. Binacional;1620;18;19;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;23;0;1;2;1;2;3;391;243;14;105;0;155;0;2;0
95852;123238;35813;Luis Álvarez;31;Perú;Pivote;Cienciano;1461;18;16;2;12;4;6;2;0;4;0;2;8;1;0;0;0;18;36;27;10;0;20;14;24;40;674;547;83;40;1;147;7;4;0
312151;826380;35813;Ray Sandoval;26;Perú;Extremo derecho;UTC;907;17;12;2;23;7;7;9;0;5;0;2;12;1;1;0;5;7;4;6;6;0;19;23;9;42;231;164;65;9;3;150;9;2;0
271676;590468;35813;Jeremy Rostaing;26;Perú;Lateral derecho;Sport Boys;1353;19;15;0;10;5;5;0;1;8;4;0;11;0;0;0;3;40;31;22;11;0;38;22;26;72;565;455;128;35;9;208;14;9;0
125750;992514;37231;Rodrigo Salinas;34;Argentina;Delantero centro;Sarmiento;376;11;4;0;6;2;2;2;2;3;1;0;4;0;0;0;3;3;0;7;0;0;5;3;16;10;94;62;22;3;1;68;9;0;0
664362;931772;35813;Francesco Cavagna;20;Perú;Defensa central;U. San Martín;727;10;9;0;1;0;0;1;0;0;0;1;0;0;0;0;0;6;21;31;2;1;10;3;13;9;269;182;16;33;0;93;0;3;2
325711;790018;35813;Elsar Rodas;27;Perú;Lateral izquierdo;César Vallejo;539;15;4;0;11;3;6;2;0;5;0;0;5;0;0;0;3;12;9;4;3;0;17;19;9;35;250;188;60;8;4;133;16;4;0
352344;876926;35813;Francisco Duclós;25;Perú;Defensa central;Sport Huancayo;369;5;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;6;6;2;1;3;5;7;11;248;211;18;18;0;47;2;0;0
100197;162603;35813;Juan Morales;32;Perú;Pivote;Alianza UDH;1319;16;21;0;1;0;0;1;0;7;0;0;6;0;0;0;0;45;19;18;8;0;29;28;16;79;623;543;48;40;2;120;10;6;1
188058;286881;35813;Nicolás Royón;30;Uruguay;Delantero centro;Cusco FC;339;9;5;0;6;3;2;1;1;4;0;0;2;0;0;0;6;1;0;3;1;0;7;1;5;4;45;30;16;2;0;29;3;0;0
250004;312270;35813;Édinson Chávez;27;Perú;Lateral derecho;Alianza UDH;1328;18;18;2;6;3;1;2;1;8;2;0;14;1;0;0;2;33;29;28;16;0;27;17;5;64;518;373;102;34;7;238;11;9;1
489993;875661;35813;Jorge Toledo;25;Perú;Lateral derecho;Juan Aurich;631;8;7;0;2;2;0;0;0;2;0;0;7;0;0;0;0;13;8;9;4;0;13;3;6;23;201;143;26;8;4;124;11;3;0
356221;790030;35813;Santiago Rebagliati;24;Perú;Delantero centro;U. San Martín;260;8;3;0;6;2;3;1;0;4;0;0;0;0;0;0;4;1;1;2;1;0;4;5;9;6;78;47;11;3;0;48;4;0;0
621021;954811;35813;Sebastián Gonzales;21;Perú;Delantero centro;Alianza Lima;303;8;3;0;10;1;6;3;1;2;1;2;5;1;0;0;1;0;2;2;0;0;7;4;12;9;72;56;21;0;1;26;4;0;0
662714;1107870;35813;Carlos Meza;18;Perú;Extremo derecho;Sport. Cristal;72;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;2;2;0;3;14;13;4;2;0;8;2;0;0
