minutesPlayed;appearances;started;goals;totalShots;shotsOnTarget;shotsOffTarget;blockedShots;assists;keyPasses;bigChancesCreated;bigChancesMissed;successfulDribbles;penaltiesWon;penaltiesTaken;penaltyGoals;offsides;tackles;interceptions;clearances;dribbledPast;penaltiesCommitted;fouls;wasFouled;aerialDuelsWon;groundDuelsWon;totalPasses;accuratePasses;accurateFinalThirdPasses;accurateLongBalls;accurateCrosses;possessionLost;dispossessed;yellowCards;redCards;tm_id;ss_id;season_origen;season_futuro_id;tipo_dato
2278;39;26;1;31;8;16;7;1;25;4;0;8;0;0;0;2;88;43;71;58;1;37;7;52;102;1264;1001;255;115;12;345;16;4;0;55164;41834;2017_2018;16007;futuro_real
3803;43;43;1;16;4;9;3;0;10;0;3;18;0;0;0;1;48;67;206;21;2;55;36;97;95;2320;2059;173;217;0;292;8;10;1;56032;34134;2017_2018;16007;futuro_real
2488;31;28;0;27;3;18;6;3;29;1;3;10;0;0;0;2;61;33;42;39;1;70;25;69;93;1315;1093;202;64;0;288;17;9;6;76717;249305;2017_2018;16007;futuro_real
99;2;1;1;1;1;0;0;0;0;0;0;2;0;0;0;2;1;1;0;1;0;1;3;1;6;22;18;7;1;0;11;3;0;0;84111;355874;2017_2018;16007;futuro_real
2466;32;28;13;97;35;46;16;3;42;11;10;14;1;3;2;34;19;7;32;17;1;73;24;16;55;811;609;279;33;3;346;36;12;1;89317;339855;2017_2018;16007;futuro_real
2949;34;33;3;41;13;24;4;0;6;1;8;4;0;0;0;3;29;61;156;7;1;57;17;100;48;816;634;33;60;0;198;1;7;1;90674;147293;2017_2018;16007;futuro_real
657;11;7;2;17;6;5;6;3;22;5;2;22;0;0;0;3;7;1;0;3;1;6;14;3;43;372;299;153;14;16;128;5;0;0;102810;248291;2018_2019;22349;futuro_real
1763;21;21;0;8;2;5;1;0;11;0;1;5;0;0;0;0;41;33;33;7;0;34;11;23;57;509;382;101;28;6;226;12;5;1;103111;873694;2018_2019;22349;futuro_real
995;21;8;6;46;19;17;10;4;27;8;3;6;0;1;1;8;13;4;3;5;0;16;37;5;56;324;250;115;31;19;206;15;5;0;104392;249511;2018_2019;22349;futuro_real
1565;28;17;4;48;11;22;15;8;40;11;1;43;0;0;0;3;16;9;2;6;0;21;41;7;99;649;517;215;52;25;304;27;3;0;119365;882851;2018_2019;22349;futuro_real
